page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
69852	Matroska	118	74	8	15	0	0	0	0	91	56	0	7	0	0	0	0	0
1522588	Model_OSI	817	450	204	267	6	6	12	60	394	182	14	100	0	0	0	0	0
71495	Model_TCP/IP	310	194	77	114	0	0	0	0	164	87	0	39	0	0	0	0	0
96695	Mozilla_Public_License	71	52	1	2	0	0	0	0	62	47	0	1	0	0	0	0	0
432981	Multicast	41	32	3	6	0	0	0	0	29	23	1	4	0	0	0	0	0
545240	Multiple_Input_Multiple_Output	72	51	4	8	0	0	0	0	55	37	2	6	0	0	0	0	0
689703	Multiprotocol_Label_Switching	84	51	0	0	0	0	0	0	63	36	0	0	0	0	0	0	0
3777	MySQL	379	216	44	67	2	2	7	0	292	142	10	35	0	0	0	0	0
4036	Nanotechnologia	256	150	21	37	0	0	0	0	203	109	3	20	0	0	0	0	0
4129	Network_Address_Translation	220	145	30	50	0	0	0	0	151	94	3	25	0	0	0	0	0
4110	Network_File_System_(protokół)	72	52	4	8	0	0	0	0	60	41	0	4	0	0	0	0	0
200416	Network_Time_Protocol	118	65	1	2	0	0	0	0	90	44	1	2	0	0	0	0	0
4427	Obliczenia_rozproszone	94	61	1	2	0	0	0	0	86	54	1	2	0	0	0	0	0
268154	Okulografia	51	37	1	2	0	0	0	0	44	30	0	1	0	0	0	0	0
1631661	Ontologia_(informatyka)	30	19	0	0	0	0	0	0	28	17	0	0	0	0	0	0	0
4226	OpenBSD	261	143	10	18	2	2	2	0	178	90	2	10	0	0	0	0	0
3011471	OpenFlow	37	4	0	0	0	0	0	0	36	3	0	0	0	0	0	0	0
1195417	Open_Hardware	61	41	2	4	0	0	0	0	57	38	2	4	0	0	0	0	0
69708	Open_Shortest_Path_First	109	79	5	10	0	0	0	0	77	58	0	5	0	0	0	0	0
91618	PCI_Express	228	166	30	50	0	0	0	0	134	89	0	22	0	0	0	0	0
4641	PHP	805	437	68	104	0	0	0	0	546	238	10	52	0	0	0	0	0
2808505	PKCS	12	9	1	2	0	0	0	0	12	9	1	2	0	0	0	0	0
4762	Peer-to-peer	466	290	69	101	0	0	0	0	288	160	4	42	0	0	0	0	0
263335	Peering	22	18	0	0	0	0	0	0	21	17	0	0	0	0	0	0	0
63955	Podpis_cyfrowy	156	95	15	27	0	0	0	0	115	67	3	17	0	0	0	0	0
3314318	Programowalna_sieć_komputerowa	6	5	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0
206013	Protokół_internetowy	273	178	41	76	0	0	0	0	197	115	5	40	0	0	0	0	0
123806	Protokół_kryptograficzny	35	25	0	0	0	0	0	0	33	23	0	0	0	0	0	0	0
6176	Protokół_sterowania_transmisją	243	167	34	56	0	0	0	0	168	108	2	25	0	0	0	0	0
4548	Python	461	249	31	51	0	0	0	0	357	168	4	28	0	0	0	0	0
1233491	Quagga	25	18	1	2	0	0	0	0	22	15	1	2	0	0	0	0	0
118786	RADIUS	73	58	6	12	0	0	0	0	55	43	0	6	0	0	0	0	0
1509802	Radio_programowalne	30	19	0	0	0	0	0	0	26	15	0	0	0	0	0	0	0
101206	Real-time_Transport_Protocol	67	47	0	0	0	0	0	0	59	40	0	0	0	0	0	0	0
327580	Real_Time_Kinematic	32	28	0	0	0	0	0	0	29	25	0	0	0	0	0	0	0
510119	Resource_Reservation_Protocol	51	34	1	2	0	0	0	0	48	31	0	1	0	0	0	0	0
456684	Rich_Internet_Application	59	46	2	2	2	2	2	0	43	33	0	0	0	0	0	0	0
67513	Robotyka	189	119	22	26	0	0	0	0	138	86	6	14	0	0	0	0	0
375027	Rozpoznawanie_mowy	230	110	4	8	0	0	0	0	151	59	0	4	0	0	0	0	0
539036	Rozpoznawanie_obrazów	52	22	2	4	0	0	0	0	45	18	0	2	0	0	0	0	0
1745498	Ruch_internetowy	9	6	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0
1374922	Rzeczywistość_rozszerzona	82	58	3	6	0	0	0	0	65	42	1	4	0	0	0	0	0
497735	Rzeczywistość_wirtualna	136	93	10	14	2	2	2	0	107	70	3	7	0	0	0	0	0
3184164	Samochód_bezzałogowy	25	22	2	4	0	0	0	0	19	16	0	2	0	0	0	0	0
321160	Semantic_Web	101	61	1	2	0	0	0	0	83	48	1	2	0	0	0	0	0
419663	Session_Description_Protocol	30	22	0	0	0	0	0	0	24	21	0	0	0	0	0	0	0
107871	Session_Initiation_Protocol	159	109	7	13	0	0	0	0	96	64	0	7	0	0	0	0	0
5445	Sieć_komputerowa	844	452	284	344	10	9	17	81	432	193	17	121	0	0	0	0	0
656525	Sieć_radiowa	22	18	1	2	0	0	0	0	20	16	0	1	0	0	0	0	0
6064	Sieć_telekomunikacyjna	44	33	0	0	0	0	0	0	39	29	0	0	0	0	0	0	0
289979	Smartfon	293	178	31	57	0	0	0	0	217	115	4	30	0	0	0	0	0
92288	Specjalizowany_układ_scalony	60	47	3	6	0	0	0	0	51	39	2	5	0	0	0	0	0
2737345	Standard_Państwowy_w_Federacji_Rosyjskiej_(GOST)	39	21	5	5	0	0	0	0	30	15	0	2	0	0	0	0	0
253652	Stream_Control_Transmission_Protocol	52	40	2	4	0	0	0	0	40	31	0	2	0	0	0	0	0
57120	Superkomputer	348	163	27	38	0	0	0	0	282	110	4	19	0	0	0	0	0
179002	System_zarządzania_pakietami	48	35	0	0	0	0	0	0	44	31	0	0	0	0	0	0	0
3912530	System_zarządzania_tożsamością	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
4335773	Szary_internet	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
5586	Sztuczna_inteligencja	359	199	31	40	4	3	7	15	287	147	10	23	0	0	0	0	0
1915600	Szyfrowanie_homomorficzne	14	11	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
11025	Teleinformatyka	74	50	7	12	0	0	0	0	59	38	1	6	0	0	0	0	0
6197	Telekomunikacja	235	138	20	31	2	2	4	0	193	102	2	15	0	0	0	0	0
207837	Transport_Layer_Security	142	101	11	18	0	0	0	0	104	69	2	10	0	0	0	0	0
81377	Tunel_(informatyka)	86	66	3	6	0	0	0	0	71	52	0	3	0	0	0	0	0
1179101	Twitter	343	180	45	69	2	2	3	0	267	114	10	36	0	0	0	0	0
545957	Tłumaczenie_automatyczne	135	82	14	17	0	0	0	0	114	67	2	7	0	0	0	0	0
50051	Uczenie_maszynowe	92	60	1	2	0	0	0	0	82	51	0	1	0	0	0	0	0
4335775	Ukryta_sieć	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
69684	Uniform_Resource_Name	50	32	1	2	0	0	0	0	39	28	0	1	0	0	0	0	0
1078617	Usługa_dodana	12	8	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
125227	Uwierzytelnianie	136	78	7	14	0	0	0	0	117	61	2	9	0	0	0	0	0
86460	Virtual_Private_Network	179	119	27	38	2	2	6	0	117	75	1	17	0	0	0	0	0
92668	WiMAX	293	207	22	38	2	2	3	0	156	100	3	20	0	0	0	0	0
1337319	Wirtualizacja	181	114	11	9	4	3	14	36	138	89	10	8	4	3	14	36	0
68243	Wirtualna_sieć_lokalna	118	76	13	24	0	0	0	0	81	54	0	13	0	0	0	0	0
6731	World_Wide_Web_Consortium	122	78	6	11	0	0	0	0	98	59	1	6	0	0	0	0	0
189218	Zarządzanie_tożsamością	26	22	0	0	0	0	0	0	21	17	0	0	0	0	0	0	0
4218142	Zrobotyzowana_Automatyzacja_Procesów	11	5	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0
1270603	Złośliwe_oprogramowanie	395	225	62	91	2	2	2	0	248	128	6	45	0	0	0	0	0
