page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
10689026	Hyperledger	6	2	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0
1385	Hypertext_Transfer_Protocol	612	378	88	122	2	2	6	0	398	222	8	48	0	0	0	0	0
8336807	IDMS	6	4	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0
499259	IEEE_802.11	182	88	19	26	0	0	0	0	135	60	2	12	0	0	0	0	0
11856824	IODEF_:_Incident_Object_Description_Exchange_Format	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
9363803	IP_Multimedia_Subsystem	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
20462	IPv6	1205	573	87	113	4	4	5	8	723	273	12	45	0	0	0	0	0
435992	ISCSI	138	87	7	11	0	0	0	0	91	56	2	5	0	0	0	0	0
7303077	Industrie_4.0	148	66	5	9	0	0	0	0	111	45	4	8	0	0	0	0	0
25757	Institute_of_Electrical_and_Electronics_Engineers	265	151	11	17	0	0	0	0	224	116	2	10	0	0	0	0	0
1548	Intelligence_artificielle	2198	902	242	294	4	4	74	288	1519	472	42	125	4	4	74	288	0
16680	Interface_de_programmation	307	194	27	43	0	0	0	0	232	137	5	23	0	0	0	0	0
792151	Internet	2968	1367	791	814	36	25	126	3100	1892	643	140	310	4	4	39	92	0
15685	Internet_Engineering_Task_Force	119	78	5	8	0	0	0	0	106	67	1	4	0	0	0	0	0
148713	Internet_Exchange_Point	235	143	7	11	2	2	4	0	180	102	3	7	0	0	0	0	0
2913324	Internet_Key_Exchange	23	21	0	0	0	0	0	0	21	19	0	0	0	0	0	0	0
1516	Internet_Protocol	344	213	42	69	0	0	0	0	256	142	4	31	0	0	0	0	0
1083244	Internet_des_objets	490	207	31	40	0	0	0	0	383	140	6	22	0	0	0	0	0
637752	JavaScript_Object_Notation	270	186	17	25	0	0	0	0	183	115	7	15	0	0	0	0	0
11569907	Jumeau_numérique	24	6	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0
67043	Kerberos_(protocole)	180	125	12	19	2	2	2	0	115	73	3	12	0	0	0	0	0
1787902	LTE_(réseaux_mobiles)	518	219	39	54	0	0	0	0	390	121	11	27	0	0	0	0	0
10101420	Lac_de_données	19	13	2	2	0	0	0	0	16	11	2	1	0	0	0	0	0
831184	Layer_2_Tunneling_Protocol	36	26	0	0	0	0	0	0	30	21	0	0	0	0	0	0	0
27230	Lightweight_Directory_Access_Protocol	282	197	15	20	2	2	2	0	175	114	1	9	0	0	0	0	0
681356	Linux	3532	1346	411	447	38	30	106	3030	2580	684	106	202	8	7	15	63	0
1716	Lisp	329	186	13	17	2	2	5	0	274	137	7	11	2	2	5	0	0
176974	Logiciel_malveillant	473	251	55	70	0	0	0	0	348	164	7	37	0	0	0	0	0
1146502	MIMO_(télécommunications)	116	73	9	14	0	0	0	0	88	53	2	9	0	0	0	0	0
3795719	Machine_virtuelle	362	201	22	37	0	0	0	0	269	133	4	21	0	0	0	0	0
9887841	Malvertising	34	8	0	0	0	0	0	0	34	8	0	0	0	0	0	0	0
3956881	MariaDB	128	86	2	4	0	0	0	0	115	74	1	3	0	0	0	0	0
69531	Matroska	391	236	18	19	2	2	2	0	224	127	3	10	0	0	0	0	0
1263473	Matériel_libre	389	162	18	27	4	4	5	12	323	114	10	20	2	2	3	0	0
9311617	Microservices	32	22	0	0	0	0	0	0	25	13	0	0	0	0	0	0	0
8253	Minix	103	68	0	0	0	0	0	0	83	55	0	0	0	0	0	0	0
1980	Modèle_OSI	740	455	121	154	4	4	7	20	390	196	12	54	0	0	0	0	0
7036038	Monnaie_virtuelle	27	14	0	0	0	0	0	0	21	11	0	0	0	0	0	0	0
1951	Moteur_de_recherche	1199	598	215	255	8	8	29	112	767	312	45	113	0	0	0	0	0
104319	Mozilla_Public_License	89	66	0	0	0	0	0	0	76	57	0	0	0	0	0	0	0
3995432	Multicast	176	108	5	9	0	0	0	0	95	57	0	4	0	0	0	0	0
10108273	Multipath_TCP	27	18	0	0	0	0	0	0	27	18	0	0	0	0	0	0	0
288344	Multiprotocol_Label_Switching	201	140	14	24	0	0	0	0	127	82	1	11	0	0	0	0	0
7022	MySQL	719	402	45	62	2	2	25	0	538	257	11	30	2	2	25	0	0
1740503	Nanotechnologie	1663	705	242	292	6	5	21	90	1109	357	41	128	0	0	0	0	0
269116	Network_File_System	90	70	2	4	0	0	0	0	68	52	0	2	0	0	0	0	0
89917	Network_Time_Protocol	282	140	14	23	0	0	0	0	204	88	1	12	0	0	0	0	0
26221	Network_address_translation	325	192	25	42	0	0	0	0	214	110	2	19	0	0	0	0	0
190309	Oculométrie	82	56	5	10	0	0	0	0	60	38	2	7	0	0	0	0	0
72707	Ontologie_(informatique)	270	163	13	22	2	2	2	0	204	117	2	11	0	0	0	0	0
2252	OpenBSD	350	223	7	12	2	2	3	0	265	151	2	6	0	0	0	0	0
10777106	OpenFlow	17	7	0	0	0	0	0	0	17	7	0	0	0	0	0	0	0
54068	Open_Shortest_Path_First	205	128	12	19	0	0	0	0	129	68	0	7	0	0	0	0	0
29329	PCI_Express	216	142	14	20	0	0	0	0	146	94	4	13	0	0	0	0	0
2350	PHP	1889	975	202	256	8	7	18	112	1243	488	47	117	4	3	11	27	0
3196205	Pair_à_pair	1343	683	109	159	2	2	3	0	814	346	17	83	0	0	0	0	0
114679	Peering	159	89	2	4	0	0	0	0	120	60	1	3	0	0	0	0	0
7504597	Plan_de_contrôle	7	6	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
506002	Public_Key_Cryptographic_Standards	52	42	0	0	0	0	0	0	47	38	0	0	0	0	0	0	0
2340	Python_(langage)	1689	758	82	116	6	5	14	20	1098	407	22	61	2	2	10	0	0
3365970	Quagga_(logiciel)	22	18	0	0	0	0	0	0	22	18	0	0	0	0	0	0	0
8225313	RISC-V	46	24	0	0	0	0	0	0	42	20	0	0	0	0	0	0	0
6426470	Radio_access_network	10	6	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0
155615	Radio_logicielle	111	74	10	15	0	0	0	0	89	54	4	9	0	0	0	0	0
1658170	Raisonnement_automatisé	21	17	0	0	0	0	0	0	20	16	0	0	0	0	0	0	0
165819	Real-time_Transport_Protocol	117	82	2	4	0	0	0	0	97	66	1	3	0	0	0	0	0
60344	Reconnaissance_automatique_de_la_parole	284	164	17	30	0	0	0	0	200	107	4	17	0	0	0	0	0
72768	Registre_de_noms_de_domaine	55	37	1	2	0	0	0	0	45	30	0	1	0	0	0	0	0
210224	Remote_Authentication_Dial-In_User_Service	156	103	12	15	0	0	0	0	107	67	0	6	0	0	0	0	0
416420	Resource_Reservation_Protocol	37	29	0	0	0	0	0	0	33	25	0	0	0	0	0	0	0
355666	Rich_Internet_application	336	175	18	23	0	0	0	0	175	98	2	10	0	0	0	0	0
84132	Robotique	1351	584	240	276	8	7	21	77	860	270	24	106	0	0	0	0	0
4009968	Robust_Header_Compression	26	16	0	0	0	0	0	0	25	15	0	0	0	0	0	0	0
62050	Réalité_augmentée	495	285	69	93	4	3	4	6	317	155	17	47	0	0	0	0	0
2930299	Réalité_virtuelle	581	324	42	62	2	2	4	0	389	190	5	27	0	0	0	0	0
3036055	Réseau_de_diffusion_de_contenu	170	99	5	6	0	0	0	0	105	57	3	4	0	0	0	0	0
752541	Réseau_de_télécommunications	41	31	0	0	0	0	0	0	39	29	0	0	0	0	0	0	0
5627	Réseau_informatique	1019	512	260	293	12	8	21	104	608	255	37	123	0	0	0	0	0
182699	Réseau_local_virtuel	202	133	18	29	0	0	0	0	122	73	3	15	0	0	0	0	0
2593	Réseau_numérique_à_intégration_de_services	255	168	29	39	2	2	3	0	172	104	2	17	0	0	0	0	0
20460	Réseau_privé_virtuel	547	335	81	112	2	2	2	0	334	170	16	49	0	0	0	0	0
4732169	Réseau_superposé	29	23	1	2	0	0	0	0	25	19	0	1	0	0	0	0	0
1608286	Secure_Real-time_Transport_Protocol	15	14	0	0	0	0	0	0	14	13	0	0	0	0	0	0	0
8742287	Service_par_contournement	23	14	0	0	0	0	0	0	21	11	0	0	0	0	0	0	0
10679564	Service_réseau	4	3	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0
9252202	Session_Description_Protocol	16	9	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0
142248	Session_Initiation_Protocol	424	246	14	26	0	0	0	0	256	135	3	16	0	0	0	0	0
2858	Signature_numérique	331	204	33	48	0	0	0	0	221	116	11	30	0	0	0	0	0
3583171	Smart_grid	391	155	15	25	0	0	0	0	311	100	6	16	0	0	0	0	0
187100	Smartphone	1394	595	199	241	8	7	11	63	1016	321	44	113	2	2	2	0	0
6113644	Software-defined_networking	53	33	2	2	2	2	2	0	42	25	2	2	2	2	2	0	0
