name,name,lang,name_lang,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807
Open_innovation,Open_innovation,en,Open_innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,3,1,0,0,1,1,2,7,2,1,4,5,4,1,4,4,3,4,1,1,4,1,2,0,1,6,7,2,6,5,5,5,2,5,5,8,12,10,7,9,0,7,10,7,8,7,4,0,5,6,4,8,6,5,4,3,5,0,6,4,10,0,0,3,1,3,3,0,1,0,2,1,3,4,7,4,1,3,4,3,5,2,0,3,0,2,0,1,1,2,1,5,0,4,2,3,1,0,1,3,1,0,2,1,0,4,0,1,3,2,3,0,0,0,5,0,0,1,0,0,0,5,2,1,2,0,1,1,5,1,4,5,2,0,2,3,2,1,1,0,1,2,2
Data_localization,Data_localization,en,Data_localization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,2,0,0,0,0,0
Internet_safety,Internet_safety,en,Internet_safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,2,1,1,2,3,0,5,0,3,0,3,7,0,1,3,0,0,2,0,0,1,4,5,5,3,3,5,2,9,0,4,7,8,4,1,3,1,2,2,4,9,0,9,3,3,1,4,5,5,0,9,8,9,0,4,9,13,15,15,11,17,5,1,13,15,23,15,6,8,10,13,4,8,0,2,3,6,16,7,12,4,14,4,2,0,6,8,7,5,7,7,8,2,15,5,0,1,5,4,3,10,9,9,5,6,5,8,4,8,0,5,3,8,6,3,4,3,4,7,8,16,6
Real-time_collaboration,Real-time_collaboration,en,Real-time_collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globalization,Globalization,en,Globalization,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,1,1,3,6,1,1,3,1,1,5,2,7,2,1,0,7,4,8,13,16,8,12,7,16,12,11,20,14,14,19,32,28,28,37,29,39,59,56,47,47,87,45,62,48,53,51,85,86,76,76,83,107,147,114,56,21,42,52,97,83,106,57,73,99,90,74,77,50,68,59,113,104,96,71,65,70,42,50,68,65,38,39,70,80,65,55,53,61,47,39,49,53,18,37,62,49,51,43,49,40,35,42,48,19,18,21,28,55,27,34,28,38,23,34,32,40,36,25,30,41,33,26,42,24,35,40,32,20,15,24,26,19,31,24,37,22,28,22,21,16,16,20,23,25,21,23,14,35,20,17,17,24,5,16,20,34,24,20,11,19,24,11,26,23,10,19,23,14,5,25,16,20,12,8,34,9,11,24,25,20,24,22,26,20,37,16,25,20
E-commerce,E-commerce,en,E-commerce,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,2,1,0,3,0,0,1,1,7,5,6,3,7,8,5,6,7,5,9,6,10,7,12,4,15,17,8,13,18,25,24,27,12,40,22,18,30,33,25,58,33,50,47,31,28,38,43,32,26,22,18,48,54,28,26,16,30,23,32,33,21,22,17,31,22,24,27,23,12,30,17,11,21,12,10,23,38,24,25,22,21,21,16,30,16,22,14,49,25,16,7,15,25,27,26,16,5,21,24,27,16,27,25,21,30,30,17,23,16,17,11,22,23,23,18,16,15,25,19,18,23,28,16,16,19,15,16,18,26,16,21,13,15,14,21,21,12,20,21,16,13,14,10,19,13,23,13,20,26,8,20,17,15,10,15,16,5,13,17,17,16,19,14,12,6,17,7,10,10,6,14,16,20,19,17,18,13,15,11,22,22
Robot_tax,Robot_tax,en,Robot_tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,2,0,0,2,0,0,0,0,0,0,0
Disruptive_innovation,Disruptive_innovation,en,Disruptive_innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,1,3,2,1,1,3,7,2,2,1,6,6,2,2,6,12,4,6,4,6,3,5,4,3,5,4,2,7,8,2,9,5,4,8,6,15,7,10,8,4,5,4,8,6,3,3,4,5,3,8,7,3,8,5,4,8,5,4,4,4,12,15,7,5,3,7,9,3,3,4,11,5,12,5,2,3,13,7,7,6,5,5,4,8,7,6,0,2,5,2,0,2,2,7,4,7,2,2,6,4,7,3,2,5,1,1,1,2,4,1,2,3,4,5,3,4,3,1,2,7,3,1,8,2,3,3,2,5,3,0,4,2,3,4,9,7,0,3,3,3,0,9,3,9,4,4,4,2,6,2,1,1,5,0,5,1,3,1,6,1,6,2,4,4,5,6,1,5,9,5,3,1,3,3,4,3
E-democracy,E-democracy,en,E-democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,2,5,5,5,6,1,4,3,3,3,1,2,3,3,5,3,3,5,2,4,6,0,5,3,3,6,5,5,8,7,5,6,3,4,7,3,8,3,2,5,6,6,4,4,6,4,4,4,9,3,5,4,3,6,5,3,3,7,11,2,4,1,5,3,4,4,9,10,5,2,8,5,0,1,5,2,1,1,5,2,3,1,4,0,1,1,6,8,4,9,8,11,4,5,7,3,3,6,6,2,7,4,3,4,4,1,1,2,1,3,2,4,4,4,4,5,1,2,6,2,6,1,2,1,5,4,5,3,1,2,2,0,3,6,2,4,0,2,5,10,5,5,6,6,2,2,3,2,5,1,2,0,0,3,3,4,3,5,2,1,4,2,1,4,1,2,2,1
