name,name,lang,name_lang,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807
Open_innovation,Open_innovation,en,Open_innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,4,1,0,0,2,1,3,10,2,1,11,10,8,1,8,5,3,7,1,5,5,1,2,0,1,9,22,2,8,7,6,5,2,6,10,14,23,13,11,12,0,11,26,10,8,13,4,0,10,7,6,12,12,6,8,4,14,0,11,5,28,0,0,3,1,4,7,0,1,0,2,1,4,4,8,4,1,3,15,3,10,4,0,4,0,2,0,1,1,2,1,7,0,4,2,4,1,0,1,3,1,0,2,1,0,4,0,1,5,2,4,0,0,0,6,0,0,1,0,0,0,8,2,1,2,0,1,1,13,2,5,7,4,0,2,7,4,1,1,0,1,2,2
Data_localization,Data_localization,en,Data_localization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,1,0,0,0,4,0,0,0,0,0
Internet_safety,Internet_safety,en,Internet_safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,9,2,0,3,1,2,3,3,0,6,0,3,0,7,8,0,1,6,0,0,2,0,0,1,4,5,8,7,5,8,2,10,0,7,7,11,6,2,3,3,2,3,6,18,0,10,5,3,1,4,8,9,0,28,23,20,0,4,11,24,70,26,17,43,5,2,16,22,32,18,7,13,19,22,6,10,0,2,4,7,29,9,19,8,25,5,2,0,6,16,7,8,13,10,11,3,18,11,0,1,6,5,3,25,11,13,9,9,10,12,8,8,0,5,6,10,6,3,5,3,4,13,14,24,8
Real-time_collaboration,Real-time_collaboration,en,Real-time_collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globalization,Globalization,en,Globalization,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,6,0,1,1,3,6,2,1,3,1,2,7,2,8,2,4,0,8,5,13,21,24,18,18,8,17,24,13,33,24,15,30,50,45,32,47,38,66,97,92,74,77,158,76,93,65,90,78,149,168,112,122,146,156,251,198,80,50,78,83,187,176,185,73,126,188,188,125,125,87,97,84,235,165,144,101,107,113,56,61,103,94,66,49,121,114,92,81,81,103,63,64,67,84,31,57,106,70,89,120,77,57,43,80,83,23,25,34,38,81,91,50,50,64,45,44,76,123,87,36,43,81,50,42,60,32,54,105,100,119,51,49,49,24,45,41,64,40,39,48,28,27,24,67,55,42,25,32,24,77,76,31,37,33,6,32,26,92,33,32,18,31,44,23,42,63,13,51,32,17,7,33,19,23,16,9,45,11,12,27,33,24,35,27,43,32,53,20,41,27
E-commerce,E-commerce,en,E-commerce,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,10,0,3,0,2,1,0,15,0,0,1,3,10,9,9,7,10,13,5,9,7,5,11,7,14,15,14,16,23,18,24,30,31,42,52,47,17,77,32,28,45,51,66,129,70,104,90,52,38,55,87,58,33,37,26,104,107,56,52,22,53,31,49,41,35,31,20,52,31,41,32,29,14,47,21,14,38,14,14,38,66,35,51,34,33,31,26,37,20,27,25,67,37,20,11,21,49,42,33,25,7,45,48,42,25,51,41,27,47,58,20,29,20,23,21,36,28,32,31,20,29,33,29,22,35,39,25,26,32,19,18,36,48,28,28,14,19,20,24,29,20,22,29,20,18,20,14,46,13,30,15,30,42,8,26,27,24,13,20,21,6,33,23,24,22,32,22,13,6,21,8,15,17,8,18,18,36,27,32,25,16,24,14,30,36
Robot_tax,Robot_tax,en,Robot_tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,5,4,0,0,3,0,0,0,0,0,0,0
Disruptive_innovation,Disruptive_innovation,en,Disruptive_innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,11,0,1,6,2,1,1,6,9,3,2,1,12,9,2,3,6,20,11,14,5,8,3,5,7,6,5,4,2,8,12,2,23,5,5,18,6,29,7,12,9,4,10,7,10,9,3,3,10,5,3,12,8,3,26,14,4,9,6,8,5,6,22,26,8,5,4,10,12,3,4,5,14,8,18,5,3,5,18,7,14,6,16,6,8,10,10,6,0,2,5,2,0,3,28,8,5,14,2,2,7,4,11,3,2,6,1,1,1,3,6,1,3,3,4,7,3,4,3,1,3,8,3,1,12,2,4,3,2,17,4,0,7,4,4,4,12,9,0,4,4,5,0,13,4,11,5,6,7,3,7,2,3,3,17,0,6,1,3,1,6,1,7,3,8,8,9,7,1,6,9,5,3,2,12,3,9,7
E-democracy,E-democracy,en,E-democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,3,4,13,42,8,8,5,27,16,9,4,5,2,4,5,5,5,6,9,5,6,11,0,5,5,24,11,12,11,8,15,9,8,5,5,10,5,11,7,3,6,8,7,4,12,10,9,10,8,10,4,21,4,7,6,20,3,3,12,12,2,66,1,9,7,5,5,20,20,13,2,10,8,0,1,5,2,2,1,10,2,3,1,4,0,1,1,9,15,5,9,8,32,7,5,7,4,4,22,6,2,8,4,3,6,7,2,1,3,1,5,2,6,4,7,7,6,1,2,6,2,8,1,2,2,23,166,5,3,1,3,2,0,4,13,3,4,0,2,6,18,7,6,10,11,2,2,3,2,6,1,2,0,0,5,3,5,3,9,2,1,5,2,1,10,1,3,2,1
